Id Elemento,Nome Elemento,Pin Attivo,Copy-Monitor,Stato
21126,1,0,0,0
21239,2,0,0,0
21303,3,0,0,0
21413,4,0,0,0
512553,5,0,0,0
512656,6,0,0,0
512666,7,0,0,0
512840,8,0,0,0
513108,9,0,0,0
513670,10,0,0,0
513747,11,0,0,0
514091,13,0,0,0
535374,14,1,0,0
535419,15,1,0,0
535436,16,1,0,0
535438,17,1,0,0
535440,18,1,0,0
535448,22,1,0,0
535450,23,1,0,0
548032,24,0,0,0
548140,25,0,0,0
548542,27,0,0,0
548619,28,0,0,0
548823,29,0,0,0
548995,30,0,0,0
549023,31,0,0,0
549103,32,0,0,0
549600,33,0,0,0
696409,34,0,0,0
1905,L0,Non Pinnato,Non Monitorato,0
