Categoria,Nome Elemento,ID Elemento,Stato
Griglie,1,21126,0
Griglie,2,21239,0
Griglie,3,21303,0
Griglie,4,21413,0
Griglie,5,512553,0
Griglie,6,512656,0
Griglie,7,512666,0
Griglie,8,512840,0
Griglie,9,513108,0
Griglie,10,513670,1
Griglie,11,513747,1
Griglie,13,514091,1
Griglie,14,535374,1
Griglie,15,535419,1
Griglie,16,535436,1
Griglie,17,535438,1
Griglie,18,535440,1
Griglie,22,535448,1
Griglie,23,535450,1
Griglie,24,548032,1
Griglie,25,548140,1
Griglie,27,548542,1
Griglie,28,548619,1
Griglie,29,548823,1
Griglie,30,548995,1
Griglie,31,549023,1
Griglie,32,549103,1
Griglie,33,549600,1
Griglie,34,696409,1
Livelli,L0,1905,0
